"CID" "dproj" "vlos" "zlcus"
"116" 1 4.0864 316.2885 0.0352
"117" 1 3.5811 -416.7474 0.0352
"118" 1 3.0791 -156.4486 0.0352
"119" 1 5.5245 -507.238 0.0352
"120" 1 5.0724 -526.1609 0.0352
"121" 1 5.016 -623.0894 0.0352
"122" 1 5.0263 -270.8868 0.0352
"123" 1 4.9116 -128.4957 0.0352
"124" 1 4.8696 -355.8691 0.0352
"125" 1 4.8079 -200.2459 0.0352
"126" 1 3.2316 -107.198 0.0352
"127" 1 3.3206 215.6472 0.0352
"128" 1 3.0442 -501.9932 0.0352
"129" 1 1.5412 159.2143 0.0352
"130" 1 1.4973 -282.1351 0.0352
"131" 1 1.3326 -696.2818 0.0352
"132" 1 5.8131 -358.2438 0.0352
"133" 1 5.0395 -490.3597 0.0352
"134" 1 4.9572 -513.8178 0.0352
"135" 1 4.5078 -39.4184 0.0352
"136" 1 4.4291 -156.576 0.0352
"137" 1 4.4001 -543.4591 0.0352
"138" 1 3.0569 -227.605 0.0352
"139" 1 3.111 -57.3885 0.0352
"140" 1 2.7202 -533.4561 0.0352
"141" 1 2.5033 -464.1039 0.0352
"142" 1 2.4137 -84.4957 0.0352
"143" 1 1.816 336.1005 0.0352
"144" 1 1.458 -1226.8592 0.0352
"145" 1 1.0278 1499.7211 0.0352
"146" 1 0.8838 1124.2485 0.0352
"147" 1 0.648 1017.9744 0.0352
"148" 1 0.4435 -1109.2788 0.0352
"149" 1 0.579 -919.4298 0.0352
"150" 1 0.5291 227.6079 0.0352
"151" 1 0.5983 -260.571 0.0352
"152" 1 0.3305 -488.4396 0.0352
"153" 1 0.3261 417.4192 0.0352
"154" 1 0.3319 -458.3349 0.0352
"155" 1 0.2563 371.8583 0.0352
"156" 1 0.3467 -248.4336 0.0352
"157" 1 0.2191 203.3012 0.0352
"158" 1 0.1043 -224.5149 0.0352
"159" 1 0.2076 -46.2966 0.0352
"160" 1 0.118 -613.1414 0.0352
"161" 1 0.2143 983.6878 0.0352
"162" 1 0.152 -456.9825 0.0352
"163" 1 0.5072 -972.6074 0.0352
"164" 1 0.0875 -1049.0637 0.0352
"165" 1 0.3294 1132.8441 0.0352
"166" 1 0.5117 -1351.9462 0.0352
"167" 1 0.4995 -799.8742 0.0352
"168" 1 0.4585 -826.9496 0.0352
"169" 1 1.1916 429.325 0.0352
"170" 1 1.3375 -379.2143 0.0352
"171" 1 1.3318 -248.3206 0.0352
"172" 1 5.6917 -336.532 0.0352
"173" 1 5.1558 -420.938 0.0352
"174" 1 4.9166 -282.5145 0.0352
"175" 1 4.5221 -561.2381 0.0352
"176" 1 4.4768 -527.3483 0.0352
"177" 1 1.9036 199.0961 0.0352
"178" 1 1.7978 -852.965 0.0352
"179" 1 1.0066 -376.4399 0.0352
"180" 1 0.5707 862.4062 0.0352
"181" 1 0.6307 -332.5383 0.0352
"182" 1 0.5155 -552.8539 0.0352
"183" 1 0.5937 522.0398 0.0352
"184" 1 0.9303 -565.0985 0.0352
"185" 1 0.8398 226.2207 0.0352
"186" 1 0.8122 914.7526 0.0352
"187" 1 1.087 -14.0575 0.0352
"188" 1 0.7115 1293.0952 0.0352
"189" 1 0.7997 444.9724 0.0352
"190" 1 1.0092 396.2026 0.0352
"191" 1 0.9921 -364.1663 0.0352
"192" 1 1.2914 -714.7732 0.0352
"193" 1 1.6517 -330.6501 0.0352
"194" 1 1.6857 -423.5126 0.0352
"195" 1 1.9344 -662.7511 0.0352
"196" 1 2.0981 -270.658 0.0352
"197" 1 2.5843 -463.0208 0.0352
"198" 1 2.2655 -230.1478 0.0352
"199" 1 2.5814 -19.8497 0.0352
"200" 1 4.1685 -829.8804 0.0352
"201" 1 5.7244 -764.8405 0.0352
"202" 1 3.2041 -466.8783 0.0352
"203" 1 2.2832 -562.9815 0.0352
"204" 1 2.1033 -655.3603 0.0352
"205" 1 2.2375 -597.3115 0.0352
"206" 1 2.0317 -131.1167 0.0352
"207" 1 1.9938 154.737 0.0352
"208" 1 2.0886 -513.5282 0.0352
"209" 1 1.9022 -537.2615 0.0352
"210" 1 2.1423 -468.7028 0.0352
"211" 1 2.1183 -301.7618 0.0352
"212" 1 1.9988 82.37 0.0352
"213" 1 2.2356 -411.9978 0.0352
"214" 1 1.8944 -902.8411 0.0352
"215" 1 4.2213 -547.9799 0.0352
"216" 1 4.5921 337.5891 0.0352
"217" 1 4.2441 -730.2962 0.0352
"218" 1 3.3067 -143.8565 0.0352
"219" 1 5.7964 48.5208 0.0352
"220" 1 5.9436 699.3053 0.0352
"221" 1 5.6645 -413.6746 0.0352
"222" 1 5.6402 494.0492 0.0352
"223" 1 5.8778 -398.0677 0.0352
"224" 1 5.7441 250.6433 0.0352
"225" 1 5.8725 -497.0322 0.0352
"226" 1 5.8681 -819.1794 0.0352
"227" 1 5.742 -41.4746 0.0352
"228" 1 5.6504 -141.0849 0.0352
"229" 1 5.7913 -177.1063 0.0352
"230" 1 5.8523 -194.5927 0.0352
"231" 1 5.391 -876.2783 0.0352
"232" 1 5.697 449.3687 0.0352
"233" 1 5.579 -843.741 0.0352
"234" 1 5.7054 -739.1118 0.0352
"235" 1 5.4722 -573.0714 0.0352
"236" 1 5.5355 739.19 0.0352
"237" 1 5.4627 381.9076 0.0352
"238" 1 5.2688 878.7226 0.0352
"239" 1 5.2546 706.8669 0.0352
"240" 1 5.1042 364.8266 0.0352
"241" 1 5.2802 842.3567 0.0352
"242" 1 5.3724 -393.1704 0.0352
"243" 1 5.0939 -629.6722 0.0352
"244" 1 4.9059 -920.4579 0.0352
"245" 1 4.6613 -630.1964 0.0352
"246" 1 4.6116 -256.1748 0.0352
"247" 1 4.2613 -305.0459 0.0352
"248" 1 5.4307 -550.4618 0.0352
"249" 1 5.3399 -766.5839 0.0352
"250" 1 5.2722 84.8925 0.0352
"251" 1 5.049 91.9473 0.0352
"252" 1 4.9382 -880.2344 0.0352
"253" 1 4.7734 -912.7949 0.0352
"254" 1 4.7297 432.5165 0.0352
"255" 1 4.6627 -457.5414 0.0352
"256" 1 4.7386 463.988 0.0352
"257" 1 4.5987 309.8592 0.0352
"258" 1 4.0113 163.7206 0.0352
"259" 1 3.9953 -199.0614 0.0352
"260" 1 3.6462 -204.9983 0.0352
"261" 1 3.8638 -181.4098 0.0352
"262" 1 3.6147 -183.9844 0.0352
"263" 1 3.7857 -232.8585 0.0352
"264" 1 2.5183 -438.1812 0.0352
"265" 1 2.0493 -239.2965 0.0352
"266" 1 3.0694 -215.4763 0.0352
"267" 1 3.0702 -379.1419 0.0352
"268" 1 5.8744 -523.6297 0.0352
"269" 1 5.8928 -220.5792 0.0352
"270" 1 5.9504 444.5931 0.0352
"271" 1 5.9908 -179.4057 0.0352
"272" 1 5.9975 213.3216 0.0352
"273" 1 5.7329 297.4061 0.0352
"274" 1 5.743 -576.8189 0.0352
"275" 1 5.9125 -125.2319 0.0352
"276" 1 5.8325 -92.8741 0.0352
"277" 1 5.5962 -731.1505 0.0352
"278" 1 5.1675 -290.6293 0.0352
"279" 1 5.3953 -514.1277 0.0352
"280" 1 5.3893 -618.7656 0.0352
"281" 1 5.2014 -463.7042 0.0352
"282" 1 5.4328 126.8971 0.0352
"283" 1 5.8755 150.1323 0.0352
"284" 1 5.7193 -266.618 0.0352
"285" 1 5.6163 -169.6692 0.0352
"286" 1 5.6021 -49.8182 0.0352
"287" 1 5.3071 -492.3116 0.0352
"288" 1 5.0886 343.358 0.0352
"289" 1 5.4089 48.1616 0.0352
"290" 1 5.2274 -88.2838 0.0352
"291" 1 5.19 -66.514 0.0352
"292" 1 5.0288 39.6935 0.0352
"293" 1 4.9522 -404.7431 0.0352
"294" 1 4.8331 86.6012 0.0352
"295" 1 4.8035 -473.9853 0.0352
"296" 1 4.5213 -866.6228 0.0352
"297" 1 4.3196 -429.6899 0.0352
"298" 1 3.8866 -351.8204 0.0352
"299" 1 4.0484 -74.6317 0.0352
"300" 1 3.977 -405.2239 0.0352
"301" 1 3.9112 -119.1964 0.0352
"302" 1 4.0843 -161.6731 0.0352
"303" 1 4.1879 -113.4333 0.0352
"304" 1 5.5085 -73.1895 0.0352
"305" 1 4.5128 -410.208 0.0352
"306" 1 3.9631 -778.2435 0.0352
"307" 1 3.7894 516.9282 0.0352
"308" 1 3.708 -246.1109 0.0352
"309" 1 3.4784 -129.1415 0.0352
"310" 1 3.2516 -684.9669 0.0352
"311" 1 4.7653 -182.0817 0.0352
"312" 1 5.5585 -456.354 0.0352
"313" 1 5.75 -160.0339 0.0352
"314" 1 5.7052 -662.2791 0.0352
"315" 1 5.7835 -599.8774 0.0352
"316" 1 5.2386 -507.3364 0.0352
"317" 1 4.8888 -640.127 0.0352
"318" 1 4.8297 -322.6193 0.0352
"319" 1 4.7096 -175.4758 0.0352
"320" 1 4.6384 -383.263 0.0352
"321" 1 4.2329 -338.1886 0.0352
"322" 1 3.774 -541.8981 0.0352
"323" 1 3.8406 638.5747 0.0352
"324" 1 3.4752 -871.9748 0.0352
"325" 1 3.4741 -933.9825 0.0352
"326" 1 3.5208 127.7399 0.0352
"327" 1 3.5164 -99.3352 0.0352
"328" 1 2.8668 -402.3249 0.0352
"329" 1 2.9278 -865.9162 0.0352
"330" 1 2.4381 -500.5799 0.0352
"331" 1 2.537 316.3898 0.0352
"332" 1 2.1671 -328.2666 0.0352
"333" 1 2.1322 -388.7829 0.0352
"334" 1 2.1611 -536.9198 0.0352
"335" 1 1.8263 -146.0141 0.0352
"336" 1 1.4309 -250.5593 0.0352
"337" 1 1.5333 -164.5808 0.0352
"338" 1 2.0828 -231.2193 0.0352
"339" 1 2.3296 -364.6963 0.0352
"340" 1 2.6738 -430.2807 0.0352
"341" 1 2.6501 -273.7973 0.0352
"342" 1 5.0449 -40.8143 0.0352
"343" 1 5.9698 -467.3446 0.0352
"344" 1 5.584 -552.3008 0.0352
"345" 1 5.7871 -526.604 0.0352
"346" 1 5.9939 -357.2071 0.0352
"347" 1 5.8185 -691.6857 0.0352
"348" 1 4.3846 -661.5608 0.0352
"349" 1 2.4827 -326.7288 0.0352
"350" 1 2.962 -819.498 0.0352
"351" 1 3.5934 61.8803 0.0352
"352" 1 4.1825 -645.3457 0.0352
"353" 1 4.2036 -753.6269 0.0352
"354" 2 5.9019 110.7278 0.0386
"355" 2 1.4615 -403.1691 0.0386
"356" 2 3.1052 -869.8826 0.0386
"357" 2 2.8379 -639.8887 0.0386
"358" 2 2.5832 18.0726 0.0386
"359" 2 2.4272 -60.0285 0.0386
"360" 2 2.6078 -152.0977 0.0386
"361" 2 2.2286 89.1913 0.0386
"362" 2 2.5419 -198.369 0.0386
"363" 2 2.3713 -513.8247 0.0386
"364" 2 2.0062 -484.8554 0.0386
"365" 2 2.0549 -433.423 0.0386
"366" 2 2.1522 -3.129 0.0386
"367" 2 2.2153 -678.805 0.0386
"368" 2 1.96 -585.3417 0.0386
"369" 2 1.8939 -448.1241 0.0386
"370" 2 4.3772 0.661 0.0386
"371" 2 2.1435 1283.3422 0.0386
"372" 2 1.9782 202.7045 0.0386
"373" 2 2.1219 417.4286 0.0386
"374" 2 2.154 460.6229 0.0386
"375" 2 2.1713 365.1505 0.0386
"376" 2 1.8575 415.6448 0.0386
"377" 2 2.8664 -25.8836 0.0386
"378" 2 2.7416 142.7626 0.0386
"379" 2 3.0792 -935.4417 0.0386
"380" 2 3.3468 -792.7195 0.0386
"381" 2 3.4661 756.0114 0.0386
"382" 2 0.9197 -1501.3252 0.0386
"383" 2 0.7784 -981.5485 0.0386
"384" 2 0.7518 -402.0145 0.0386
"385" 2 0.9272 635.0855 0.0386
"386" 2 0.6705 -1279.9448 0.0386
"387" 2 0.672 -1328.049 0.0386
"388" 2 0.8926 -917.8916 0.0386
"389" 2 0.6939 -461.8698 0.0386
"390" 2 0.6306 13.9709 0.0386
"391" 2 0.6568 -899.3628 0.0386
"392" 2 0.6146 -1317.1321 0.0386
"393" 2 0.5443 110.2717 0.0386
"394" 2 0.5724 560.962 0.0386
"395" 2 0.743 -1286.2981 0.0386
"396" 2 0.3493 -449.12 0.0386
"397" 2 0.2074 99.274 0.0386
"398" 2 0.6957 -535.7509 0.0386
"399" 2 0.6165 -381.6124 0.0386
"400" 2 0.4459 539.6448 0.0386
"401" 2 0.7393 -752.2647 0.0386
"402" 2 1.1963 234.6845 0.0386
"403" 2 1.4792 -1144.1849 0.0386
"404" 2 2.5797 229.2059 0.0386
"405" 2 2.6277 -1119.6031 0.0386
"406" 2 3.4843 -1364.5003 0.0386
"407" 2 3.8785 1431.8606 0.0386
"408" 2 3.8429 -1417.4366 0.0386
"409" 2 3.8729 -1380.8785 0.0386
"410" 2 4.1752 -867.8187 0.0386
"411" 2 4.9043 -1265.4947 0.0386
"412" 2 1.7262 -259.7801 0.0386
"413" 2 1.4635 -241.9875 0.0386
"414" 2 1.4886 -421.9692 0.0386
"415" 2 1.5577 -383.6503 0.0386
"416" 2 1.5358 -106.932 0.0386
"417" 2 1.4777 -251.9432 0.0386
"418" 2 1.4439 -928.159 0.0386
"419" 2 1.1591 423.0978 0.0386
"420" 2 1.226 -513.0684 0.0386
"421" 2 1.2637 -725.365 0.0386
"422" 2 1.2901 -141.3857 0.0386
"423" 2 1.1983 -263.2786 0.0386
"424" 2 0.9975 220.3846 0.0386
"425" 2 1.2888 -587.6567 0.0386
"426" 2 1.0309 435.966 0.0386
"427" 2 1.1445 -299.4557 0.0386
"428" 2 1.007 522.5276 0.0386
"429" 2 1.1026 -642.4923 0.0386
"430" 2 0.7572 -9.3062 0.0386
"431" 2 0.6722 -1132.1827 0.0386
"432" 2 0.4981 -674.0971 0.0386
"433" 2 0.9423 -36.1655 0.0386
"434" 2 0.5716 -495.9743 0.0386
"435" 2 0.4606 321.3818 0.0386
"436" 2 1.0097 -706.386 0.0386
"437" 2 0.5692 -48.9702 0.0386
"438" 2 0.866 118.2703 0.0386
"439" 2 0.6837 4.1047 0.0386
"440" 2 0.6171 -55.4707 0.0386
"441" 2 2.2799 -1370.8882 0.0386
"442" 2 2.8804 -128.607 0.0386
"443" 2 5.0791 1290.9656 0.0386
"444" 2 5.4485 756.1211 0.0386
"445" 2 5.9898 -987.8296 0.0386
"446" 2 0.9082 -1169.6731 0.0386
"447" 2 0.9376 401.4141 0.0386
"448" 2 0.9241 691.5636 0.0386
"449" 2 0.6526 -1302.7542 0.0386
"450" 2 0.642 -1482.8485 0.0386
"451" 2 0.6427 -1282.6957 0.0386
"452" 2 0.5984 -1295.4253 0.0386
"453" 2 1.0812 244.8885 0.0386
"454" 2 1.0575 348.5846 0.0386
"455" 2 0.9816 -925.0762 0.0386
"456" 2 0.964 -368.9578 0.0386
"457" 2 0.8777 -158.2922 0.0386
"458" 2 0.8675 -708.3344 0.0386
"459" 2 0.794 -68.743 0.0386
"460" 2 0.7783 -1420.7099 0.0386
"461" 2 0.7867 -1257.5827 0.0386
"462" 2 0.7629 -1467.4488 0.0386
"463" 2 0.7603 -1262.6082 0.0386
"464" 2 0.7595 -511.9571 0.0386
"465" 2 0.8174 252.8293 0.0386
"466" 2 0.6792 -373.2674 0.0386
"467" 2 0.5962 -180.3367 0.0386
"468" 2 0.4908 -1074.9397 0.0386
"469" 2 0.3535 -49.4811 0.0386
"470" 2 0.2803 -1283.9484 0.0386
"471" 2 0.3824 -79.3655 0.0386
"472" 2 0.1983 -978.3127 0.0386
"473" 2 0.2807 297.158 0.0386
"474" 2 0.1594 -803.9684 0.0386
"475" 2 0.5622 -797.1388 0.0386
"476" 2 0.2321 127.7122 0.0386
"477" 2 0.2824 -520.7928 0.0386
"478" 2 0.2406 -190.8611 0.0386
"479" 2 0.1866 1102.4138 0.0386
"480" 2 0.255 53.5194 0.0386
"481" 2 0.3076 167.3992 0.0386
"482" 2 0.0759 508.1758 0.0386
"483" 2 0.1213 -755.0098 0.0386
"484" 2 0.0673 57.3181 0.0386
"485" 2 0.0917 288.8678 0.0386
"486" 2 0.086 69.0461 0.0386
"487" 2 0.3535 926.2366 0.0386
"488" 2 0.202 -52.0357 0.0386
"489" 2 0.2946 -167.8697 0.0386
"490" 2 0.2652 -320.1695 0.0386
"491" 2 0.5544 -710.8601 0.0386
"492" 2 0.5179 251.0108 0.0386
"493" 2 0.6439 -36.1857 0.0386
"494" 2 0.9274 340.9901 0.0386
"495" 2 1.7862 -1133.8222 0.0386
"496" 2 4.4321 -1078.2476 0.0386
"497" 2 5.4536 -1207.5821 0.0386
"498" 2 2.3479 701.1613 0.0386
"499" 2 2.6756 109.5183 0.0386
"500" 2 3.1111 1382.951 0.0386
"501" 2 1.0784 -921.7509 0.0386
"502" 2 1.1909 -645.3385 0.0386
"503" 2 1.0634 -1026.4082 0.0386
"504" 2 1.5013 -1436.6061 0.0386
"505" 2 1.0033 -629.5404 0.0386
"506" 2 1.0731 -1239.5332 0.0386
"507" 2 1.0768 127.5736 0.0386
"508" 2 1.1276 -1403.408 0.0386
"509" 2 1.1599 346.1137 0.0386
"510" 2 1.4348 345.3748 0.0386
"511" 2 1.522 -734.8761 0.0386
"512" 2 1.761 -717.2422 0.0386
"513" 2 2.5208 301.9814 0.0386
"514" 2 3.8555 1152.9254 0.0386
"515" 2 4.5426 -1281.8153 0.0386
"516" 2 4.5682 -1407.4607 0.0386
"517" 2 1.9264 11.806 0.0386
"518" 2 2.076 -570.1469 0.0386
"519" 2 1.9613 117.5718 0.0386
"520" 2 1.9025 -521.0584 0.0386
"521" 2 1.9757 -408.7459 0.0386
"522" 2 1.7453 -165.2488 0.0386
"523" 2 2.0694 75.2926 0.0386
"524" 2 1.7966 114.0213 0.0386
"525" 2 1.5499 -805.8793 0.0386
"526" 2 1.8158 -575.8825 0.0386
"527" 2 2.0164 457.7623 0.0386
"528" 2 1.5871 -486.2958 0.0386
"529" 2 1.5945 -161.8629 0.0386
"530" 2 1.5854 -568.7643 0.0386
"531" 2 1.3985 235.2821 0.0386
"532" 2 1.3632 258.0886 0.0386
"533" 2 1.3974 -67.2795 0.0386
"534" 2 1.604 -650.5112 0.0386
"535" 2 1.7663 290.2245 0.0386
"536" 2 1.6326 270.5527 0.0386
"537" 2 1.6323 68.2783 0.0386
"538" 2 1.6402 -85.4619 0.0386
"539" 2 1.4076 209.4764 0.0386
"540" 2 1.5804 24.5472 0.0386
"541" 2 1.3725 -963.88 0.0386
"542" 2 1.5311 -720.5416 0.0386
"543" 2 1.5246 -344.4886 0.0386
"544" 2 1.5355 -777.4093 0.0386
"545" 2 1.2711 -440.8356 0.0386
"546" 2 1.6935 -963.4874 0.0386
"547" 2 1.2196 -662.3922 0.0386
"548" 2 1.8146 -462.1903 0.0386
"549" 2 1.7469 -432.3607 0.0386
"550" 2 2.2657 -390.3125 0.0386
"551" 2 2.8259 -620.7827 0.0386
"552" 2 3.3266 -251.6314 0.0386
"553" 2 3.1699 -373.2876 0.0386
"554" 2 3.4233 -82.5349 0.0386
"555" 2 2.7909 7.8629 0.0386
"556" 2 2.9525 -412.0424 0.0386
"557" 2 2.7634 -450.927 0.0386
"558" 2 2.9803 21.0198 0.0386
"559" 2 2.7356 56.761 0.0386
"560" 2 2.7889 -148.3481 0.0386
"561" 2 2.8116 365.6527 0.0386
"562" 2 2.8969 -34.93 0.0386
"563" 2 2.6524 -175.955 0.0386
"564" 2 2.6002 166.2389 0.0386
"565" 2 2.3931 -391.8568 0.0386
"566" 2 2.3736 -411.849 0.0386
"567" 2 2.5246 4.8003 0.0386
"568" 2 2.7704 -955.0038 0.0386
"569" 2 3.0384 -562.8209 0.0386
"570" 2 2.7254 -627.2601 0.0386
"571" 2 4.5837 -421.4987 0.0386
"572" 2 4.8648 -173.614 0.0386
"573" 2 5.0419 -428.1954 0.0386
"574" 2 4.7071 61.3535 0.0386
"575" 2 4.1943 342.7884 0.0386
"576" 2 3.7267 -793.4816 0.0386
"577" 2 3.5929 -652.2806 0.0386
"578" 2 3.7573 -686.3072 0.0386
"579" 2 4.0481 -679.3448 0.0386
"580" 2 3.7336 -770.6202 0.0386
"581" 2 3.8242 -880.1009 0.0386
"582" 2 3.9542 -714.9186 0.0386
"583" 2 4.2946 -703.0578 0.0386
"584" 2 5.0272 -720.5531 0.0386
"585" 2 4.9344 -990.7912 0.0386
"586" 2 4.9159 -662.1526 0.0386
"587" 2 5.8831 -984.8593 0.0386
"588" 2 5.8852 59.2059 0.0386
"589" 2 5.9265 152.574 0.0386
"590" 2 5.8563 266.3095 0.0386
"591" 2 5.6584 313.3399 0.0386
"592" 2 4.7505 177.404 0.0386
"593" 2 5.3192 231.6566 0.0386
"594" 2 4.9603 -570.3374 0.0386
"595" 2 5.2044 -779.7994 0.0386
"596" 2 5.6276 -779.7936 0.0386
"597" 2 5.5347 -718.3131 0.0386
"598" 2 1.0723 -943.6799 0.0386
"599" 2 2.3223 -542.4881 0.0386
"600" 2 1.9693 -705.3237 0.0386
"601" 2 2.1361 -779.1412 0.0386
"602" 2 2.1121 -682.7019 0.0386
"603" 2 2.0116 -562.3186 0.0386
"604" 2 2.2021 -609.3087 0.0386
"605" 2 2.4952 -441.7997 0.0386
"606" 2 2.5298 -713.8275 0.0386
"607" 2 3.0686 -533.1299 0.0386
"608" 2 3.0628 -599.6791 0.0386
"609" 2 3.7016 -727.4317 0.0386
"610" 2 4.4733 -433.3306 0.0386
"611" 2 3.363 61.6104 0.0386
"612" 2 3.3706 -137.5813 0.0386
"613" 2 3.3498 30.2134 0.0386
"614" 2 3.1213 -595.5774 0.0386
"615" 2 3.7806 -675.2402 0.0386
"616" 2 3.8751 -751.468 0.0386
"617" 2 4.4189 -687.0201 0.0386
"618" 2 4.6968 -704.1835 0.0386
"619" 2 4.6965 8.1805 0.0386
"620" 2 4.7382 -664.7793 0.0386
"621" 2 5.1701 -752.2675 0.0386
"622" 2 5.0898 -780.3305 0.0386
"623" 2 5.4738 -879.5641 0.0386
"624" 2 5.2786 -447.0792 0.0386
"625" 2 5.9888 16.0838 0.0386
"626" 3 4.1787 256.4043 0.0545
"627" 3 4.4011 162.5058 0.0545
"628" 3 1.7692 -7.0023 0.0545
"629" 3 1.8789 -344.8898 0.0545
"630" 3 2.1355 -423.4475 0.0545
"631" 3 2.0089 -479.5825 0.0545
"632" 3 2.0376 -301.4914 0.0545
"633" 3 2.1902 -566.0182 0.0545
"634" 3 3.1634 -234.6525 0.0545
"635" 3 4.0674 -342.3084 0.0545
"636" 3 5.5128 46.9919 0.0545
"637" 3 1.9623 -728.4813 0.0545
"638" 3 1.483 70.0259 0.0545
"639" 3 1.1214 163.3615 0.0545
"640" 3 0.8641 -197.0624 0.0545
"641" 3 0.8091 274.6535 0.0545
"642" 3 0.7538 -600.6914 0.0545
"643" 3 0.7585 -226.8968 0.0545
"644" 3 0.5153 -239.389 0.0545
"645" 3 0.5598 69.8582 0.0545
